"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"DeAndrew White (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Shane Wynn (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Darius Jennings (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Isaac Fruechte (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Adam Humphries (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"Deshon Foxx (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Laquon Treadwell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"Corey Coleman (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.8%"
"Josh Doctson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.4%"
"Michael Thomas (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"Tyler Boyd (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"Pharoh Cooper (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"Sterling Shepard (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57.8%"
"Rashard Higgins (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tajae Sharpe (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"Keyarris Garrett (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Anthony Dable (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Braxton Miller (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"Kenny Lawler (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Leonte Carroo (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"Jalin Marshall (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Will Fuller (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.1%"
"Chris Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Malcolm Mitchell (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"Ricardo Louis (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Demarcus Robinson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Thomas Duarte (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jakeem Grant (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"Rashawn Scott (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Robby Anderson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8%"
