"Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"De'Veon Smith (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Matthew Dayes (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Marquez Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Khalfani Muhammad (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"De'Angelo Henderson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"Donnel Pumphrey (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"Aaron Jones (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"Devante Mays (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Terrell Newby (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Justin Davis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chris Carson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jordan Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Anthony Firkser (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"LeShun Daniels (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Darrin Laufasa (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jarveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Stanley Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Ricky Ortiz (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Taquan Mizzell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dalton Crossan (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tim Cook (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"I'Tavius Mathers (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dare Ogunbowale (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Akeem Judd (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Joe Bacci (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Devine Redding (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jahad Thomas (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Daryl Virgies (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
